Name,Lat,Longt,Cluster,RelativeHumidity
4UT01_2005_8_29.n3,40.82944,-111.88221999999998,1,19.75
690_2005_8_29.n3,43.5326,-112.94775000000003,1,7.333333333333333
A01_2005_8_29.n3,37.0339,-116.0989,1,0.75
A02_2005_8_29.n3,37.1428,-116.1117,1,9.75
A03_2005_8_29.n3,37.051829999999995,-115.9965,1,0.0
A04_2005_8_29.n3,37.1006,-116.1231,1,7.75
A09_2005_8_29.n3,37.1367,-116.0469,1,0.0
A12_2005_8_29.n3,37.1967,-116.2275,1,1.0
A14_2005_8_29.n3,36.937,-116.17166999999999,1,1.0
A16_2005_8_29.n3,37.0714,-116.0561,1,0.0
A17_2005_8_29.n3,37.0714,-116.0561,1,1.0
A18_2005_8_29.n3,37.1067,-116.3231,1,17.5
A20_2005_8_29.n3,37.2608,-116.4369,1,25.0
A21_2005_8_29.n3,37.0314,-116.1728,1,9.75
A24_2005_8_29.n3,36.8433,-116.47,0,94.0
A25_2005_8_29.n3,36.6856,-116.4069,1,14.75
A34_2005_8_29.n3,36.8436,-115.9083,1,9.75
A35_2005_8_29.n3,37.8014,-116.7594,1,26.75
A42_2005_8_29.n3,36.7056,-116.3589,1,0.0
A45_2005_8_29.n3,37.0064,-116.0664,1,0.0
A49_2005_8_29.n3,37.1039,-116.0919,1,0.0
AAWC1_2005_8_29.n3,35.8639,-119.3939,1,16.0
ABE_2005_8_29.n3,42.95497,-112.82455000000003,1,12.666666666666666
ABMN6_2005_8_29.n3,43.1131,-78.4042,1,31.0
ABNW1_2005_8_29.n3,46.3428,-123.0833,0,88.0
ABQ5_2005_8_29.n3,34.9574,-106.494,1,25.0
ABRK1_2005_8_29.n3,37.13,-97.09,3,57.0
ACHC1_2005_8_29.n3,37.1575,-120.25,1,23.25
ACOC1_2005_8_29.n3,36.8594,-119.6006,1,19.5
ACON5_2005_8_29.n3,34.7197,-107.8483,1,29.0
ACRI1_2005_8_29.n3,43.6217,-113.3889,1,6.0
ACRU1_2005_8_29.n3,37.5222,-112.2711,1,14.0
ACU1_2005_8_29.n3,41.74,-70.89,0,84.5
ADFW1_2005_8_29.n3,46.2683,-117.4983,1,22.0
AELG1_2005_8_29.n3,31.1097,-83.4269,0,67.0
AFRG1_2005_8_29.n3,33.8967,-83.3656,3,63.0
AFSN2_2005_8_29.n3,39.5025,-117.5144,1,6.0
AFTY_2005_8_29.n3,42.73333,-110.93583000000001,1,13.75
AFWT2_2005_8_29.n3,28.3044,-96.8233,3,44.0
AFWW3_2005_8_29.n3,44.6981,-91.1342,3,56.0
AGFO3_2005_8_29.n3,42.5522,-124.0578,3,53.0
AGKO_2005_8_29.n3,42.56528,-121.9825,3,36.5
AGLA2_2005_8_29.n3,65.02,-146.2281,1,30.0
AGZM5_2005_8_29.n3,48.5,-95.87,0,72.0
AHTI_2005_8_29.n3,44.025,-111.46667,1,14.5
AKFLO_2005_8_29.n3,42.16472,-121.755,1,21.75
ALDC1_2005_8_29.n3,40.1867,-123.5903,3,63.0
ALDM8_2005_8_29.n3,47.9225,-108.5528,1,11.0
ALFO3_2005_8_29.n3,43.9214,-119.5964,1,8.0
ALFT1_2005_8_29.n3,35.07,-86.89,3,54.0
ALHF1_2005_8_29.n3,29.803,-82.41,0,76.5
ALLN2_2005_8_29.n3,39.7358,-115.5186,1,6.0
ALRA3_2005_8_29.n3,33.8417,-109.1222,1,20.0
ALRN2_2005_8_29.n3,41.6869,-116.7661,1,6.0
ALSA2_2005_8_29.n3,60.1958,-154.32,0,88.0
ALT_2005_8_29.n3,40.571,-111.631,1,24.0
AMC2_2005_8_29.n3,38.8,-104.52,3,36.0
AMDN8_2005_8_29.n3,46.5461,-103.5186,1,21.0
AMNC1_2005_8_29.n3,36.7567,-120.3714,1,20.0
AMOC1_2005_8_29.n3,33.3814,-117.2856,3,64.0
ANDW4_2005_8_29.n3,42.4372,-108.9456,1,9.0
ANEC1_2005_8_29.n3,32.8344,-116.7397,1,27.0
ANEW1_2005_8_29.n3,48.7431,-119.6222,1,24.0
ANIC1_2005_8_29.n3,34.0158,-119.3597,0,85.0
ANP1_2005_8_29.n3,39.0103,-76.609,0,73.5
ANPM1_2005_8_29.n3,44.3769,-68.2608,0,92.0
ANWT2_2005_8_29.n3,29.6617,-96.2597,3,57.0
AOST2_2005_8_29.n3,33.72525000000001,-102.19079999999998,3,54.166666666666664
AP001_2005_8_29.n3,40.0545,-105.2078,3,39.5
AP002_2005_8_29.n3,24.6611,-81.4825,0,82.0
AP004_2005_8_29.n3,37.1005,-76.545,3,44.0
AP005_2005_8_29.n3,39.0152,-96.2888,0,99.0
AP008_2005_8_29.n3,28.5627,-81.2708,0,72.6
AP012_2005_8_29.n3,41.70236,-86.87868,0,100.0
AP013_2005_8_29.n3,45.0465,-93.3458,3,51.25
AP014_2005_8_29.n3,40.7272,-73.6908,0,85.6
AP015_2005_8_29.n3,42.3447,-74.0305,3,46.0
AP017_2005_8_29.n3,41.7797,-107.1167,0,100.0
AP019_2005_8_29.n3,42.1972,-79.4243,3,63.0
AP020_2005_8_29.n3,32.4418,-110.78,3,52.25
AP022_2005_8_29.n3,26.1275,-81.766,3,59.25
AP023_2005_8_29.n3,35.9953,-115.0697,1,9.0
AP030_2005_8_29.n3,27.8572,-82.8043,0,100.0
AP034_2005_8_29.n3,41.9207,-80.2385,3,64.25
AP035_2005_8_29.n3,47.4693,-122.61219999999999,0,82.66666666666667
AP036_2005_8_29.n3,47.5533,-122.8813,3,36.0
AP038_2005_8_29.n3,27.8273,-82.6502,0,100.0
AP039_2005_8_29.n3,27.864,-82.7247,3,64.0
AP040_2005_8_29.n3,41.2895,-96.0437,0,84.5
AP044_2005_8_29.n3,34.9517,-82.2593,3,41.75
AP046_2005_8_29.n3,39.47417,-94.5758,3,57.0
AP047_2005_8_29.n3,27.4788,-82.518,0,76.5
AP051_2005_8_29.n3,34.275,-88.4133,3,40.75
AP053_2005_8_29.n3,31.0638,-97.4925,3,60.25
AP056_2005_8_29.n3,32.36468,-110.9725,0,100.0
AP058_2005_8_29.n3,41.3428,-94.3172,3,54.0
AP061_2005_8_29.n3,38.5422,-121.3705,1,16.25
AP063_2005_8_29.n3,28.566,-81.3492,0,75.5
AP064_2005_8_29.n3,43.1312,-77.5115,0,69.5
AP066_2005_8_29.n3,39.5667,-75.8722,0,100.0
AP067_2005_8_29.n3,28.1875,-82.3388,0,100.0
AP069_2005_8_29.n3,40.1575,-75.3975,0,93.25
