Lat,Longt,Cluster,RelativeHumidity
40.82944,-111.88221999999998,0,19.75
43.5326,-112.94775000000003,0,7.333333333333333
37.0339,-116.0989,0,0.75
37.1428,-116.1117,0,9.75
37.051829999999995,-115.9965,0,0.0
37.1006,-116.1231,0,7.75
37.1367,-116.0469,0,0.0
37.1967,-116.2275,0,1.0
36.937,-116.17166999999999,0,1.0
37.0714,-116.0561,0,0.0
37.0714,-116.0561,0,1.0
37.1067,-116.3231,0,17.5
37.2608,-116.4369,0,25.0
37.0314,-116.1728,0,9.75
36.8433,-116.47,0,94.0
36.6856,-116.4069,0,14.75
36.8436,-115.9083,0,9.75
37.8014,-116.7594,0,26.75
36.7056,-116.3589,0,0.0
37.0064,-116.0664,0,0.0
37.1039,-116.0919,0,0.0
35.8639,-119.3939,0,16.0
42.95497,-112.82455000000003,0,12.666666666666666
43.1131,-78.4042,0,31.0
46.3428,-123.0833,0,88.0
34.9574,-106.494,0,25.0
37.13,-97.09,0,57.0
37.1575,-120.25,0,23.25
36.8594,-119.6006,0,19.5
34.7197,-107.8483,0,29.0
43.6217,-113.3889,0,6.0
37.5222,-112.2711,0,14.0
41.74,-70.89,0,84.5
46.2683,-117.4983,0,22.0
31.1097,-83.4269,0,67.0
33.8967,-83.3656,0,63.0
39.5025,-117.5144,0,6.0
42.73333,-110.93583000000001,0,13.75
28.3044,-96.8233,0,44.0
44.6981,-91.1342,0,56.0
42.5522,-124.0578,0,53.0
42.56528,-121.9825,0,36.5
65.02,-146.2281,0,30.0
48.5,-95.87,0,72.0
44.025,-111.46667,0,14.5
42.16472,-121.755,0,21.75
40.1867,-123.5903,0,63.0
47.9225,-108.5528,0,11.0
43.9214,-119.5964,0,8.0
35.07,-86.89,0,54.0
29.803,-82.41,0,76.5
39.7358,-115.5186,0,6.0
33.8417,-109.1222,0,20.0
41.6869,-116.7661,0,6.0
60.1958,-154.32,0,88.0
40.571,-111.631,0,24.0
38.8,-104.52,0,36.0
46.5461,-103.5186,0,21.0
36.7567,-120.3714,0,20.0
33.3814,-117.2856,0,64.0
42.4372,-108.9456,0,9.0
32.8344,-116.7397,0,27.0
48.7431,-119.6222,0,24.0
34.0158,-119.3597,0,85.0
39.0103,-76.609,0,73.5
44.3769,-68.2608,0,92.0
29.6617,-96.2597,0,57.0
33.72525000000001,-102.19079999999998,0,54.166666666666664
40.0545,-105.2078,0,39.5
24.6611,-81.4825,0,82.0
37.1005,-76.545,0,44.0
39.0152,-96.2888,0,99.0
28.5627,-81.2708,0,72.6
41.70236,-86.87868,0,100.0
45.0465,-93.3458,0,51.25
40.7272,-73.6908,3,85.6
42.3447,-74.0305,2,46.0
41.7797,-107.1167,0,100.0
42.1972,-79.4243,0,63.0
32.4418,-110.78,0,52.25
26.1275,-81.766,0,59.25
35.9953,-115.0697,0,9.0
27.8572,-82.8043,0,100.0
41.9207,-80.2385,0,64.25
47.4693,-122.61219999999999,0,82.66666666666667
47.5533,-122.8813,0,36.0
27.8273,-82.6502,0,100.0
27.864,-82.7247,0,64.0
41.2895,-96.0437,0,84.5
34.9517,-82.2593,0,41.75
39.47417,-94.5758,0,57.0
27.4788,-82.518,0,76.5
34.275,-88.4133,0,40.75
31.0638,-97.4925,0,60.25
32.36468,-110.9725,0,100.0
41.3428,-94.3172,0,54.0
