_id,REPORT_NAME,REPORT_ID,ORGANISATION,RBA_ID,POINT_1_NAME,POINT_1_LAT,POINT_1_LNG,POINT_1_STREET,POINT_1_STREET_NUMBER,POINT_1_POSTAL_CODE,POINT_1_COUNTRY,POINT_2_NAME,POINT_2_LAT,POINT_2_LNG,POINT_2_STREET_NUMBER,POINT_2_POSTAL_CODE,POINT_2_CITY,POINT_2_COUNTRY,DURATION_IN_SEC,DISTANCE_IN_METERS,NDT_IN_KMH,ROAD_TYPE,POINT_1_CITY,POINT_2_STREET
1,AAR_BT_0145 3193 3192,180952,COWI,182224,3193,56.16389697427008,10.18616224669654,,,,Denmark,3192,56.16929516572502,10.194526468751974,,,,Denmark,49,810,60,MAJOR_ROAD,,
2,Viborgvej->Paludan Müllers vej,1164,BLIP Systems A/S,1811,Viborgvej,56.1712485170938,10.15683662714,Åby Ringvej,100,8210,Denmark,Paludan Müllers Vej,56.1763699180381,10.1785437446976,60,8210,Aarhus,Denmark,82,1471,65,STREET,Aarhus,Hasle Ringvej
3,AAR_BT_0147 3185 3193,181006,COWI,182228,3185,56.1589844936963,10.182944170639075,,,,Denmark,3193,56.16389697427008,10.18616224669654,,,,Denmark,36,600,60,MAJOR_ROAD,,
4,AAR_BT_0218 2653 3199,187165,COWI,189676,2653,56.148242094184255,10.149874309192683,,,,Denmark,3199,56.154610138216704,10.157440224536913,,,,Denmark,86,1540,64,MAJOR_ROAD,,
5,AAR_BT_0436 4376 4375,201345,COWI,229497,4376,56.13236396838821,10.211722754631069,Strandvejen,122,8000,Denmark,4375,56.136738858609256,10.20776318039134,94,8000,Aarhus,Denmark,32,540,61,MAJOR_ROAD,Aarhus,Strandvejen
6,AAR_BT_0442 4372 5853,201507,COWI,229509,4372,56.105069529457616,10.206927436840033,Oddervej,172,8270,Denmark,5853,56.114487000000004,10.207854230653766,89,8270,Højbjerg,Denmark,65,1075,60,MAJOR_ROAD,Højbjerg,Oddervej
7,AAR_BT_0450 4562 4549,201722,COWI,229525,4562,56.11067162844458,10.12228671163939,Møllebakken,15,8361,Denmark,4549,56.11996007421442,10.083678288360602,,8361,Hasselager,Denmark,136,2905,77,MAJOR_ROAD,Hasselager,Genvejen
8,AAR_BT_0458 3986 4334,201934,COWI,229541,3986,56.125829583613914,10.157709017196566,Skanderborgvej,224B,8260,Denmark,4334,56.11814500000001,10.148131067458962,100,8260,Aarhus,Denmark,62,1215,71,MAJOR_ROAD,Aarhus,Ringvej Syd
9,AAR_BT_0006 4323 4759,158475,COWI,159703,4323,56.23489759702643,10.125013142824173,Nordjyske Motorvej,,8382,Denmark,4759,56.21740644105506,10.10702759027481,,8381,Tilst,Denmark,75,2335,112,MAJOR_ROAD,Hinnerup,Østjyske Motorvej
10,AAR_BT_0007 4364 4322,158505,COWI,159780,4364,56.21508593264829,10.13978019262504,Søftenvej,,8200,Denmark,4322,56.22579478256016,10.116589665412903,5,8382,Hinnerup,Denmark,106,2065,70,MAJOR_ROAD,Aarhus,Stenhøjvej
